title,price,endDate,discount,count
"Kitchens Slow Cooker Liners","29.52","29.07.2028","42.99","521"
"Ring Video Doorbell","58.82","11.04.2025","63.52","761"
"Wagner's 13008 Deluxe Wild Bird Food","74.64","09.01.2029","62.28","414"
"Fidget Toys","70.99","05.07.2027","38.05","1000"
"Amazon Basics Exercise Yoga Mat","74.90","13.07.2027","2.50","120"
"Smart WiFi Router","33.45","02.06.2027","65.15","1"
"Callaway 2021 Supersoft Golf Balls 12B PK","68.82","07.11.2025","59.19","381"
"Blink Outdoor – wireless","85.53","10.01.2027","96.11","811"
"Microfiber Cleaning Cloths","20.86","24.10.2026","82.31","15"
"Wolmund Toddler Learning Toy","12.38","15.10.2026","11.82","222"
"Bedside Table with Plastic Poles","26.57","03.03.2026","9.05","29"
"Colorful VSCO Waterproof Stickers","61.40","06.02.2026","32.00","704"
"Mini Handheld Vacuum","43.24","07.02.2025","2.15","606"
"Echo Dot | Smart speaker","90.24","15.04.2027","23.72","313"
"Baby Monitor Dog Camera 360-degree","47.57","08.03.2029","74.60","231"
"Fire 7 Kids tablet","60.42","06.11.2029","69.05","396"
"Scotts Turf Builder Weed and Feed","23.91","31.12.2028","68.68","340"
